J, B, T, Ox, Oy, p1, p2, p3, m, chi
0.01, 0.0, 0.1, 7.331124653586762e-05, 1.7329710676492204e-06, 0.9999999999998063, 9.357725900925637e-14, 9.357520037656914e-14, 3.2049291504382524e-17, 4.8247293994718135e-12
0.01, 0.1, 0.1, 7.989616639625385e-05, 6.425724266292029e-07, 0.9999999999996977, 2.543665647521883e-13, 3.442477108172789e-14, 2.4126851926509507e-13, 4.8247293994718135e-12
0.02566929133858268, 0.0, 0.1, 5.56695537840728e-07, 1.3918522065987328e-07, 0.9999999999998066, 9.357625036383592e-14, 9.35762090129366e-14, 3.204938001270807e-17, 4.398653511553028e-12
0.02566929133858268, 0.1, 0.1, 1.0087292664232855e-06, 1.555594150955738e-07, 0.9999999999997147, 2.5436656473763235e-13, 3.4424771084686395e-14, 2.199647249576641e-13, 4.398653511553028e-12
0.04133858267716536, 0.0, 0.1, 6.693757242680343e-06, 2.996073122217231e-08, 0.9999999999998117, 9.357661809576541e-14, 9.357584128229354e-14, 2.6469776446253265e-23, 4.439902023340849e-12
0.04133858267716536, 0.1, 0.1, 5.989198166860173e-06, 3.098911920327505e-07, 0.9999999999997032, 2.5436656473902205e-13, 3.442477108440471e-14, 2.2199510119351226e-13, 4.439902023340849e-12
0.057007874015748035, 0.0, 0.1, 3.962619739731471e-06, 7.653561623743112e-08, 0.9999999999998027, 9.357654683170934e-14, 9.357591254591813e-14, 3.2049397383504086e-17, 4.427997674328201e-12
0.057007874015748035, 0.1, 0.1, 3.704713058431952e-06, 1.0736249259271012e-08, 0.9999999999997151, 2.543665647386378e-13, 3.4424771084482963e-14, 2.2143193311379357e-13, 4.427997674328201e-12
0.0726771653543307, 0.0, 0.1, 4.981753154116586e-06, 5.870074206537507e-08, 0.999999999999799, 9.357673792739642e-14, 9.357572145158029e-14, 3.970466624710171e-23, 4.492640328861212e-12
0.0726771653543307, 0.1, 0.1, 5.154917106099232e-06, 8.192608783297167e-08, 0.9999999999997068, 2.5436656474082444e-13, 3.442477108403854e-14, 2.2463201648276532e-13, 4.492640328861212e-12
0.08834645669291338, 0.0, 0.1, 3.915564263173247e-06, 1.3897497961281001e-08, 0.9999999999998188, 9.357671524945013e-14, 9.357574412933449e-14, 3.970466940254533e-23, 4.473069518249057e-12
0.08834645669291338, 0.1, 0.1, 3.7673611247854635e-06, 2.041618045206375e-07, 0.999999999999717, 2.543665647401556e-13, 3.442477108417459e-14, 2.2365347595215753e-13, 4.473069518249057e-12
0.10401574803149606, 0.0, 0.1, 5.222473521771312e-07, 3.4852123747877764e-08, 0.9999999999998138, 9.357630610665452e-14, 9.357615327016423e-14, 6.6174417449806005e-24, 4.400805667046397e-12
0.10401574803149606, 0.1, 0.1, 5.190662024012402e-07, 5.5248236268388135e-08, 0.9999999999997243, 2.543665647376863e-13, 3.4424771084676146e-14, 2.200402833589373e-13, 4.400805667046397e-12
0.11968503937007874, 0.0, 0.1, 8.447474136064943e-08, 2.9939847477102044e-08, 0.9999999999998137, 9.35762447447009e-14, 9.357621463207082e-14, 3.204937835832791e-17, 4.398280228579775e-12
0.11968503937007874, 0.1, 0.1, 8.378588367864161e-08, 4.3496591813395556e-08, 0.9999999999997086, 2.5436656473762397e-13, 3.442477108468948e-14, 2.1994606080734707e-13, 4.398280228579775e-12
0.13535433070866143, 0.0, 0.1, 8.773215156012326e-08, 9.684337050927354e-09, 0.9999999999998122, 9.357624645779081e-14, 9.357621291897987e-14, 3.204937691078077e-17, 4.3983427741775785e-12
0.13535433070866143, 0.1, 0.1, 1.0086298692121138e-07, 4.3637286491534954e-08, 0.9999999999997133, 2.5436656473762477e-13, 3.442477108468885e-14, 2.1994918808578973e-13, 4.3983427741775785e-12
0.15102362204724412, 0.0, 0.1, 1.5820381344642002e-07, 7.904126863550536e-08, 0.9999999999998059, 9.357626717766732e-14, 9.357619219911289e-14, 3.204937587680185e-17, 4.398209744533182e-12
0.15102362204724412, 0.1, 0.1, 2.928043426243416e-08, 1.0706900974220661e-08, 0.9999999999997117, 2.543665647376194e-13, 3.442477108468966e-14, 2.1994253660253592e-13, 4.398209744533182e-12
0.16669291338582679, 0.0, 0.1, 3.671507885438318e-08, 3.143968131034914e-08, 0.9999999999998206, 9.357624099811477e-14, 9.357621837865471e-14, 0.0, 4.399536446236653e-12
0.16669291338582679, 0.1, 0.1, 1.6889098125192833e-07, 9.597333304042375e-08, 0.9999999999997069, 2.5436656473764345e-13, 3.4424771084685025e-14, 2.199768223118327e-13, 4.399536446236653e-12
0.18236220472440945, 0.0, 0.1, 2.3037366387733578e-07, 2.4307000194510264e-08, 0.9999999999998247, 9.357628898482583e-14, 9.357617039197427e-14, 6.617451211311463e-24, 4.399155310691878e-12
0.18236220472440945, 0.1, 0.1, 8.62984436829058e-08, 8.323891328659893e-08, 0.9999999999997184, 2.543665647376315e-13, 3.442477108468781e-14, 2.1995776554121136e-13, 4.399155310691878e-12
0.19803149606299214, 0.0, 0.1, 3.26438632638332e-07, 1.5273449229696576e-08, 0.9999999999998108, 9.357632052639547e-14, 9.357613885044336e-14, 6.6174417449806005e-24, 4.4008089158856045e-12
0.19803149606299214, 0.1, 0.1, 2.656168970386046e-07, 6.890160629192833e-08, 0.9999999999996959, 2.543665647376832e-13, 3.442477108467584e-14, 2.2004044580089766e-13, 4.4008089158856045e-12
0.21370078740157483, 0.0, 0.1, 2.545185205554733e-07, 1.04931775739766e-07, 0.9999999999998198, 9.357631226746448e-14, 9.357614710936088e-14, 3.2049384148601664e-17, 4.403333753731175e-12
0.21370078740157483, 0.1, 0.1, 4.080759200356934e-07, 4.344592257930097e-08, 0.9999999999997167, 2.5436656473779375e-13, 3.442477108465406e-14, 2.2019873707070736e-13, 4.403333753731175e-12
0.2293700787401575, 0.0, 0.1, 4.867107554208357e-07, 1.4244550284178847e-08, 0.9999999999998217, 9.35763864539573e-14, 9.35760729230206e-14, 3.204939076605603e-17, 4.402453009307513e-12
0.2293700787401575, 0.1, 0.1, 3.4301588680693204e-07, 5.895176852223704e-08, 0.9999999999997148, 2.5436656473776477e-13, 3.442477108466035e-14, 2.2015469985614172e-13, 4.402453009307513e-12
0.24503937007874016, 0.0, 0.1, 5.15975872442836e-07, 1.2850698627542825e-09, 0.9999999999998147, 9.357640715787901e-14, 9.357605221915887e-14, 6.6174417449806005e-24, 4.404007516348756e-12
0.24503937007874016, 0.1, 0.1, 3.5867764370557925e-07, 1.606077688961738e-08, 0.999999999999709, 2.543665647377963e-13, 3.4424771084653976e-14, 2.2020037582405526e-13, 4.404007516348756e-12
0.26070866141732285, 0.0, 0.1, 4.5906896877910986e-07, 2.837822968265045e-08, 0.9999999999998137, 9.357639800178531e-14, 9.357606137522522e-14, 3.2049370913724485e-17, 4.407057199888639e-12
0.26070866141732285, 0.1, 0.1, 4.4084184150144576e-07, 2.8380384112449e-08, 0.9999999999997071, 2.5436656473792234e-13, 3.4424771084628284e-14, 2.2038490936534568e-13, 4.407057199888639e-12
0.27637795275590554, 0.0, 0.1, 4.193842747566385e-07, 8.349206583935458e-09, 0.9999999999998198, 9.357639241502595e-14, 9.357606696196763e-14, 3.204936429626381e-17, 4.407470771993481e-12
0.27637795275590554, 0.1, 0.1, 4.25075020869315e-07, 3.257521316444164e-08, 0.9999999999997033, 2.54366564737934e-13, 3.442477108462522e-14, 2.2040558796397032e-13, 4.407470771993481e-12
0.29204724409448823, 0.0, 0.1, 3.659397926753221e-07, 2.9432207754149175e-08, 0.9999999999998113, 9.357638018265824e-14, 9.357607919430473e-14, 3.2049390766059186e-17, 4.400640984802541e-12
0.29204724409448823, 0.1, 0.1, 1.9872890220186184e-07, 5.8567602865036815e-08, 0.9999999999997052, 2.543665647377018e-13, 3.44247710846728e-14, 2.2006409863089312e-13, 4.400640984802541e-12
0.30771653543307087, 0.0, 0.1, 1.6985071056745192e-07, 1.4901161193847656e-08, 0.9999999999998076, 9.357630333283944e-14, 9.357615604397704e-14, 3.204937256806678e-17, 4.398537170786706e-12
0.30771653543307087, 0.1, 0.1, 7.264394160522028e-08, 1.1534377469725152e-08, 0.9999999999997085, 2.5436656473763124e-13, 3.442477108468747e-14, 2.1995890791190337e-13, 4.398537170786706e-12
0.32338582677165356, 0.0, 0.1, 1.5158361711973883e-08, 1.4110401613366495e-08, 0.9999999999998043, 9.357623908876332e-14, 9.3576220288006e-14, 3.2049377014173614e-17, 6.200688827343596e-12
0.32338582677165356, 0.1, 0.1, 5.0788005948140705e-06, 4.545949928635608e-08, 0.9999999999997133, 2.543665647991888e-13, 3.442477107217345e-14, 3.10066490744194e-13, 6.200688827343596e-12
0.33905511811023625, 0.0, 0.1, 2.547826589590187e-08, 5.628110204036795e-09, 0.9999999999998112, 9.357624210612249e-14, 9.357621727064567e-14, 1.1373780754258444e-24, 4.399317714308614e-12
0.33905511811023625, 0.1, 0.1, 7.854686510027709e-08, 1.0147926264773082e-08, 0.9999999999997156, 2.543665647376339e-13, 3.4424771084686306e-14, 2.199658857165681e-13, 4.399317714308614e-12
0.3547244094488189, 0.0, 0.1, 7.388183762053633e-07, 5.922582414392162e-08, 0.99999999999981, 9.357659873152529e-14, 9.357586064640765e-14, 3.204939738350093e-17, 4.449792456437304e-12
0.3547244094488189, 0.1, 0.1, 7.832701358612398e-07, 1.4516711794278631e-08, 0.9999999999997033, 2.543665647393795e-13, 3.442477108433133e-14, 2.225216722192487e-13, 4.449792456437304e-12
0.3703937007874016, 0.0, 0.1, 2.124434671022966e-06, 1.2526107549285746e-08, 0.9999999999998166, 9.357733420741526e-14, 9.357512517978264e-14, 7.940934827142152e-23, 4.864773596391073e-12
0.3703937007874016, 0.1, 0.1, 2.254305232510202e-06, 3.432137425823107e-08, 0.9999999999997078, 2.5436656475353427e-13, 3.442477108145447e-14, 2.43238679898963e-13, 4.864773596391073e-12
0.3860629921259843, 0.0, 0.1, 5.543621927393046e-06, 1.3204051790172866e-08, 0.9999999999997996, 9.357923379209802e-14, 9.357322566182284e-14, 3.204918562526096e-17, 7.58415068957274e-12
0.3860629921259843, 0.1, 0.1, 5.656193726763731e-06, 0.0, 0.9999999999997039, 2.543665648464445e-13, 3.44247710625666e-14, 3.792395836642623e-13, 7.58415068957274e-12
0.40173228346456696, 0.0, 0.1, 1.3716093987038627e-05, 2.4535947608979203e-08, 0.9999999999998096, 9.35839642881243e-14, 9.356849560005618e-14, 8.470329440988567e-22, 4.398879316197194e-12
0.40173228346456696, 0.1, 0.1, 1.7745232510621556e-08, 9.388382599889565e-09, 0.9999999999997135, 2.5436656473762033e-13, 3.442477108468953e-14, 2.1994396665689265e-13, 4.398879316197194e-12
0.41740157480314966, 0.0, 0.1, 6.26987765521355e-08, 1.881556574087956e-08, 0.9999999999998135, 9.357626804096389e-14, 9.357619133581743e-14, 3.204938001270807e-17, 4.398379373844047e-12
0.41740157480314966, 0.1, 0.1, 3.691785839948509e-08, 1.4896832808789738e-08, 0.9999999999997142, 2.543665647376259e-13, 3.442477108468864e-14, 2.1995101807221507e-13, 4.398379373844047e-12
0.4330708661417323, 0.0, 0.1, 6.982185631565046e-08, 2.1992205695080572e-08, 0.9999999999998017, 9.357627418710696e-14, 9.357618518967875e-14, 3.308709828437627e-24, 4.399658831193881e-12
0.4330708661417323, 0.1, 0.1, 7.661194443241408e-08, 2.641053711363117e-08, 0.9999999999997123, 2.5436656473764714e-13, 3.442477108468411e-14, 2.199829415630028e-13, 4.399658831193881e-12
0.448740157480315, 0.0, 0.1, 1.2784588333326127e-07, 1.169375979981558e-08, 0.9999999999998195, 9.357631055100065e-14, 9.357614882582283e-14, 3.204938414859851e-17, 4.4010847384484615e-12
0.448740157480315, 0.1, 0.1, 1.4515884540221063e-07, 2.019364163099455e-08, 0.9999999999997072, 2.543665647377172e-13, 3.442477108466969e-14, 2.200862863065717e-13, 4.4010847384484615e-12
0.4644094488188977, 0.0, 0.1, 5.549198090072215e-07, 3.3320681529190364e-08, 0.9999999999998166, 9.357659207338529e-14, 9.357586730450484e-14, 3.204934444394488e-17, 4.419052288972884e-12
0.4644094488188977, 0.1, 0.1, 3.8005257649509827e-07, 1.7274925364007115e-08, 0.9999999999997126, 2.5436656473833084e-13, 3.4424771084545006e-14, 2.2098466379308815e-13, 4.419052288972884e-12
0.4800787401574803, 0.0, 0.1, 1.0841800957443531e-06, 4.197147658340554e-09, 0.9999999999998186, 9.357696028087387e-14, 9.357549910045808e-14, 3.2049397383491465e-17, 4.592468948236365e-12
0.4800787401574803, 0.1, 0.1, 1.1229138526268117e-06, 2.5420163818953343e-08, 0.9999999999997194, 2.5436656474425767e-13, 3.442477108334124e-14, 2.2965549680920176e-13, 4.592468948236365e-12
0.495748031496063, 0.0, 0.1, 2.4349271266168497e-06, 8.665447433080053e-09, 0.9999999999998118, 9.357792406286544e-14, 9.357453533844639e-14, 3.2049238564820165e-17, 5.446056381565712e-12
0.495748031496063, 0.1, 0.1, 2.526112898718568e-06, 5.009176745693782e-09, 0.9999999999997183, 2.543665647734136e-13, 3.442477107741375e-14, 2.7233486831685043e-13, 5.446056381565712e-12
0.5114173228346457, 0.0, 0.1, 5.072341238635501e-06, 5.1049621544129835e-08, 0.999999999999801, 9.357987109259237e-14, 9.35725883975334e-14, 2.1175823365813146e-22, 9.111012189167126e-12
0.5114173228346457, 0.1, 0.1, 5.19244219505824e-06, 5.7020851667418e-08, 0.9999999999997081, 2.5436656489857815e-13, 3.442477105196897e-14, 4.555506096701145e-13, 9.111012189167126e-12
0.5270866141732283, 0.0, 0.1, 1.0382504921017293e-05, 3.181337323732656e-09, 0.9999999999997948, 9.358391132973698e-14, 9.356854855146381e-14, 6.352747072852816e-22, 2.5277684710474107e-11
0.5270866141732283, 0.1, 0.1, 1.060547238959349e-05, 4.242791534964984e-08, 0.9999999999996999, 2.543665654507976e-13, 3.442477093970943e-14, 1.2638842361589802e-12, 2.5277684710474107e-11
0.5427559055118111, 0.0, 0.1, 4.2913958062190075e-08, 1.2171964502992562e-08, 0.9999999999998181, 9.357626367142741e-14, 9.357619570535172e-14, 3.204937587680816e-17, 4.398978338678806e-12
0.5427559055118111, 0.1, 0.1, 5.8158010600333404e-08, 2.4450651353161126e-08, 0.9999999999997113, 2.5436656473764643e-13, 3.4424771084684565e-14, 2.1998096630981713e-13, 4.398978338678806e-12
0.5584251968503937, 0.0, 0.1, 2.2008744380417234e-08, 1.0668674854279324e-08, 0.9999999999998166, 9.35762488594842e-14, 9.357621051728739e-14, 8.271932343275112e-25, 4.400404287823562e-12
0.5584251968503937, 0.1, 0.1, 8.660865561481619e-08, 5.129990203338634e-09, 0.9999999999997048, 2.543665647376719e-13, 3.4424771084678904e-14, 2.2002021439200528e-13, 4.400404287823562e-12
0.5740944881889765, 0.0, 0.1, 7.466602057620039e-08, 4.11008603773568e-09, 0.9999999999998137, 9.357628994715833e-14, 9.357616942964179e-14, 4.9630962970926496e-24, 4.401322068182512e-12
0.5740944881889765, 0.1, 0.1, 1.0393655599548533e-07, 2.2072533159808527e-08, 0.9999999999997032, 2.543665647377031e-13, 3.442477108467243e-14, 2.200661034140887e-13, 4.401322068182512e-12
0.5897637795275591, 0.0, 0.1, 4.192433282005628e-07, 6.316294873295338e-08, 0.9999999999998092, 9.357658066284487e-14, 9.357587871497467e-14, 3.2049397383485154e-17, 4.4337295027660924e-12
0.5897637795275591, 0.1, 0.1, 3.9022672467878684e-07, 2.505405451431387e-08, 0.999999999999711, 2.543665647388315e-13, 3.442477108444301e-14, 2.2171852453568813e-13, 4.4337295027660924e-12
0.6054330708661417, 0.0, 0.1, 9.080297157040308e-07, 4.204205685287073e-08, 0.9999999999998052, 9.357700217250347e-14, 9.357545720936622e-14, 3.2049317974155815e-17, 4.586916310458163e-12
0.6054330708661417, 0.1, 0.1, 8.775660136016417e-07, 2.1270715939089187e-08, 0.9999999999997036, 2.5436656474406743e-13, 3.4424771083379587e-14, 2.293778648408823e-13, 4.586916310458163e-12
0.6211023622047245, 0.0, 0.1, 1.9822943562491013e-06, 3.970950360646729e-08, 0.9999999999998017, 9.35779582255582e-14, 9.35745011767545e-14, 2.1175822734724422e-22, 5.4945481993076785e-12
0.6211023622047245, 0.1, 0.1, 2.061503504859638e-06, 3.538471386286787e-08, 0.9999999999997219, 2.54366564775047e-13, 3.442477107708128e-14, 2.747274101771422e-13, 5.4945481993076785e-12
0.6367716535433071, 0.0, 0.1, 4.469193675132139e-06, 6.956416489806771e-09, 0.9999999999998108, 9.358022433402174e-14, 9.357223517916365e-14, 2.117582399690187e-22, 9.972418169842548e-12
0.6367716535433071, 0.1, 0.1, 4.535687633827113e-06, 1.8141801219444635e-08, 0.9999999999997073, 2.543665649280031e-13, 3.4424771045987e-14, 4.986209087038857e-13, 9.972418169842548e-12
0.6524409448818898, 0.0, 0.1, 9.235980098139165e-06, 1.540771549364707e-08, 0.99999999999981, 9.358468829082655e-14, 9.356777169757498e-14, 8.470329409434131e-22, 2.930494766783456e-11
0.6524409448818898, 0.1, 0.1, 9.357831551316939e-06, 2.024647301964569e-09, 0.9999999999997173, 2.5436656558838276e-13, 3.442477091174228e-14, 1.465247384238761e-12, 2.930494766783456e-11
0.6681102362204725, 0.0, 0.1, 3.174010302241286e-08, 1.0947475657588708e-08, 0.9999999999998092, 9.357626117464945e-14, 9.35761982021281e-14, 3.204937670397615e-17, 4.401621854542617e-12
0.6681102362204725, 0.1, 0.1, 1.071176446635159e-07, 4.040564095801593e-09, 0.9999999999997093, 2.543665647377367e-13, 3.4424771084666156e-14, 2.2011314210383486e-13, 4.401621854542617e-12
0.6837795275590551, 0.0, 0.1, 6.254286390117782e-08, 4.057615165734881e-08, 0.99999999999981, 9.357630124233459e-14, 9.357615813447543e-14, 0.0, 4.402811539618142e-12
0.6837795275590551, 0.1, 0.1, 8.496365665953376e-08, 7.421161303867611e-08, 0.9999999999997037, 2.5436656473775427e-13, 3.442477108466229e-14, 2.2014057698090712e-13, 4.402811539618142e-12
0.6994488188976378, 0.0, 0.1, 8.165664979457215e-08, 3.8760997933731575e-08, 0.9999999999998039, 9.357631843051882e-14, 9.35761409463177e-14, 3.20493659506345e-17, 4.399314446384267e-12
0.6994488188976378, 0.1, 0.1, 4.7461630574445793e-08, 3.424032479400945e-08, 0.9999999999997099, 2.5436656473765875e-13, 3.442477108468238e-14, 2.1999777168516397e-13, 4.399314446384267e-12
0.7151181102362205, 0.0, 0.1, 1.2120322308009559e-07, 3.412166588019775e-09, 0.9999999999998177, 9.357635139690627e-14, 9.35761079799885e-14, 3.2049390766059186e-17, 4.4157145257732085e-12
0.7151181102362205, 0.1, 0.1, 2.1905103225346823e-07, 5.736212857173844e-08, 0.999999999999702, 2.5436656473821835e-13, 3.442477108456831e-14, 2.2081777567942648e-13, 4.4157145257732085e-12
0.7307874015748032, 0.0, 0.1, 3.3157132408847607e-07, 6.282571209355497e-08, 0.9999999999998009, 9.357657585475925e-14, 9.357588352303287e-14, 3.204935767882837e-17, 4.405161402582771e-12
0.7307874015748032, 0.1, 0.1, 1.3972004503272288e-07, 1.3705226193094769e-09, 0.999999999999703, 2.543665647378567e-13, 3.442477108464142e-14, 2.2029011948681737e-13, 4.405161402582771e-12
0.7464566929133859, 0.0, 0.1, 1.8808907613903508e-07, 3.454205195100616e-09, 0.999999999999809, 9.357642679382414e-14, 9.357603258327603e-14, 3.204935767882837e-17, 4.6820614666859555e-12
0.7464566929133859, 0.1, 0.1, 8.731818869761598e-07, 6.124119500624249e-09, 0.9999999999997072, 2.54366564747314e-13, 3.4424771082718496e-14, 2.3413512269197663e-13, 4.6820614666859555e-12
0.7621259842519685, 0.0, 0.1, 1.0374436850364211e-06, 4.226147115878678e-08, 0.9999999999998126, 9.357734042231016e-14, 9.357511896500785e-14, 1.0587911840678754e-22, 5.0925146877184e-12
0.7621259842519685, 0.1, 0.1, 1.3367585678711986e-06, 2.262065584715385e-08, 0.999999999999705, 2.5436656476131246e-13, 3.442477107987283e-14, 2.5462573449179913e-13, 5.0925146877184e-12
0.7777952755905512, 0.0, 0.1, 7.388986394463767e-07, 4.7028165952845586e-08, 0.9999999999998177, 9.357703801374103e-14, 9.357542136861544e-14, 5.293956551428101e-23, 4.631491149695639e-12
0.7777952755905512, 0.1, 0.1, 7.586647764094525e-07, 3.2313451121281884e-09, 0.9999999999997053, 2.5436656474556624e-13, 3.442477108307433e-14, 2.315745575377215e-13, 4.631491149695639e-12
0.7934645669291339, 0.0, 0.1, 7.698931228797897e-07, 6.587379295908668e-08, 0.9999999999998167, 9.357709028657466e-14, 9.35753690965249e-14, 3.204929150437937e-17, 5.1812004106933976e-12
0.7934645669291339, 0.1, 0.1, 1.364015512758676e-06, 2.905185661569963e-08, 0.9999999999997022, 2.543665647643627e-13, 3.442477107925236e-14, 2.590920698261743e-13, 5.1812004106933976e-12
0.8091338582677166, 0.0, 0.1, 1.9169266162768453e-06, 2.953679078384466e-08, 0.9999999999998095, 9.357840708687966e-14, 9.357405233041962e-14, 1.5881868076562493e-22, 5.19953178850545e-12
0.8091338582677166, 0.1, 0.1, 1.35280723255208e-06, 1.8407073666852268e-08, 0.9999999999996971, 2.543665647649691e-13, 3.442477107912976e-14, 2.5997658958409116e-13, 5.19953178850545e-12
0.8248031496062993, 0.0, 0.1, 2.3647423223524923e-06, 4.181483672207019e-08, 0.9999999999998064, 9.357896787777087e-14, 9.357349156309571e-14, 3.17637352064919e-22, 1.345963017238155e-11
0.8248031496062993, 0.1, 0.1, 4.462753501546747e-06, 1.328480914700821e-07, 0.9999999999997159, 2.54366565047119e-13, 3.442477102177254e-14, 6.729815089367149e-13, 1.345963017238155e-11
0.8404724409448819, 0.0, 0.1, 1.3968882539615118e-06, 9.817797458680929e-08, 0.9999999999998103, 9.357788170638018e-14, 9.357457769372003e-14, 1.0587912471767478e-22, 5.697285797830132e-12
0.8404724409448819, 0.1, 0.1, 1.6561680823482504e-06, 9.049566373738992e-08, 0.9999999999997039, 2.54366564781972e-13, 3.4424771075673514e-14, 2.8486428999738576e-13, 5.697285797830132e-12
0.8561417322834646, 0.0, 0.1, 1.4126156720179579e-06, 2.0882394907683866e-07, 0.9999999999998187, 9.357794571548863e-14, 9.357451368645501e-14, 1.5881867129929407e-22, 4.425471041850798e-12
0.8561417322834646, 0.1, 0.1, 2.326052805646329e-07, 1.6766550306074634e-08, 0.9999999999997063, 2.543665647385299e-13, 3.442477108450498e-14, 2.2127355225135862e-13, 4.425471041850798e-12
0.8718110236220473, 0.0, 0.1, 4.3970084770401745e-06, 7.5340153359032e-08, 0.9999999999998073, 9.358161126295242e-14, 9.357084836140063e-14, 4.235164767825938e-22, 3.259680007537923e-11
0.8718110236220473, 0.1, 0.1, 6.185276926697146e-06, 4.155550987333379e-06, 0.9999999999997099, 2.5436656570081324e-13, 3.442477088888549e-14, 1.629840004192478e-12, 3.259680007537923e-11
0.88748031496063, 0.0, 0.1, 0.49348455323288576, 1.2767402951608472e-07, 0.9999999999998989, 1.0300827180965741e-13, 5.157732381228356e-18, 6.311079834762533e-30, 0.10982309464207189
0.88748031496063, 0.1, 0.1, 0.4963177654561008, 1.6288593271778092e-08, 0.9999999999998932, 1.0819302958241431e-13, 4.354446164509211e-18, 0.005491154732103595, 0.10982309464207189
0.9031496062992126, 0.0, 0.1, 0.5510307858191177, 3.3835226942125026e-08, 0.9999999999999638, 3.877751384666022e-14, 8.258359830881612e-19, 0.0, 0.13047028803023758
0.9031496062992126, 0.1, 0.1, 0.5526647650286597, 9.126570962588574e-08, 0.9999999999999648, 4.074922594831755e-14, 7.232428909516574e-19, 0.0065235144015118795, 0.13047028803023758
0.9188188976377953, 0.0, 0.1, 0.5907784542540717, 1.4621817257744622e-07, 0.9999999999999883, 1.624297076631634e-14, 1.9350719533418682e-19, 7.888609052210118e-31, 0.14511747743669054
0.9188188976377953, 0.1, 0.1, 0.5919397856586397, 8.572642558154846e-08, 0.9999999999999866, 1.7047533859603146e-14, 1.723130388513052e-19, 0.007255873871834527, 0.14511747743669054
0.934488188976378, 0.0, 0.1, 0.6219926248989379, 1.1253642633651479e-07, 1.0000000000000036, 7.138649461896616e-15, 5.4036158438023504e-20, 1.3877787807814457e-17, 0.15667270467408956
0.934488188976378, 0.1, 0.1, 0.6228864976394987, 1.1502499882294811e-07, 0.9999999999999933, 7.48219579357662e-15, 4.8624189423973754e-20, 0.007833635233704492, 0.15667270467408956
0.9501574803149606, 0.0, 0.1, 0.6478922041083119, 5.2510358676052544e-08, 0.9999999999999949, 3.227551191361212e-15, 1.6772976738505108e-20, 1.97216730938022e-31, 0.1662031597108589
0.9501574803149606, 0.1, 0.1, 0.6486103098184279, 4.2068249877578105e-07, 0.9999999999999927, 3.378673494025577e-15, 1.5206891995180042e-20, 0.008310157985542944, 0.1662031597108589
0.9658267716535434, 0.0, 0.1, 0.670075725199449, 9.888800659156326e-08, 0.9999999999999988, 1.4867674314463204e-15, 5.594123701124999e-21, 0.0, 0.17425997962229817
0.9658267716535434, 0.1, 0.1, 0.6706682563752904, 5.158581411321593e-08, 1.0000000000000022, 1.5546347659880967e-15, 5.101291367187862e-21, 0.00871299898111491, 0.17425997962229817
0.981496062992126, 0.0, 0.1, 0.6894540904791026, 4.345095093708494e-07, 1.0000000000000033, 6.9435818590918915e-16, 1.9676587647129445e-21, 2.775557561562901e-17, 0.1811709892813842
