J, B, T, O, m, chi, E0, E1, E2, p0, p1, p2, boundary 
0.1, 0.0, 0.0, 5.303386265703355e-06, 0.0, 3.1166863970074525e-12, -1.9999999998777973, 0.9999954871560727, 1.0000045131290656, 1.0, 0.0, 0.0, 1 
0.1, 0.3333333333333333, 0.0, 4.85528364333257e-06, 1.0388954656691508e-12, 3.760819466790204e-12, -1.9999999998770432, 0.6666666667803895, 1.3333333335070805, 1.0, 0.0, 0.0, 1 
0.1, 0.6666666666666666, 0.0, 6.345779967839929e-06, 2.507212977860136e-12, 6.174425191182899e-12, -1.9999999998631575, 0.333333333478895, 1.666666666843064, 1.0, 0.0, 0.0, 1 
0.1, 1.0, 0.0, 6.671471769191181e-06, 5.15517892645775e-12, 5.010148817437587e-12, -1.9999999998373266, 1.8329528896665138e-10, 2.0000000002039195, 1.0, 0.0, 0.0, 1 
0.1, 1.3333333333333333, 0.0, 2.399245847493151e-06, 5.847312189485194e-12, 1.2828738325717803e-11, -1.9999999998887563, -0.33333333320196157, 2.333333333471966, 1.0, 0.0, 0.0, 1 
0.1, 1.6666666666666665, 0.0, 3.6659301824217025e-06, 1.3707671143602952e-11, -5.296904404203454e-12, -1.9999999998486861, -0.6666666664778234, 2.6666666668572185, 1.0, 0.0, 0.0, 1 
0.1, 2.0, 0.0, -1.6554132115742926e-06, 2.316042586682891e-12, 2.3574296227794064e-11, -1.999999999986812, -0.9999999999821073, 3.000000000017172, 1.0, 0.0, 0.0, 1 
0.1, 2.333333333333333, 0.0, -9.02205362405676e-06, 2.9423868628798995e-11, 1.206273057648138e-10, -1.9999999999338511, -1.3333333332276875, 3.3333333334272393, 1.0, 0.0, 0.0, 1 
0.1, 2.6666666666666665, 0.0, -3.038068543874373e-06, 8.273424642989209e-11, 0.749243336837484, -1.9999999999678024, -1.666666666579225, 3.6666666667315213, 1.0, 0.0, 0.0, 1 
0.1, 3.0, 0.0, 0.45538556887822024, 0.4994955579210798, 1.4999999998126732, -2.039446055307286, -1.879669505854185, 4.043510719091081, 1.0, 0.0, 0.0, 1 
0.1, 3.333333333333333, 0.0, -1.3663407080128688e-06, 0.9999999999578496, 0.7507566630963769, -2.3333333333169457, -1.9999999999556881, 4.333333333365844, 1.0, 0.0, 0.0, 1 
0.1, 3.6666666666666665, 0.0, -5.880592910268299e-06, 0.9999999999853311, 1.1681322575896047e-11, -2.666666666634405, -1.9999999999485847, 4.666666666711265, 1.0, 0.0, 0.0, 1 
0.1, 4.0, 0.0, 7.751261218651162e-06, 0.9999999999656372, 1.0464962230116726e-11, -2.9999999998153415, -1.9999999997492897, 5.000000000231072, 1.0, 0.0, 0.0, 1 
0.1, 4.333333333333333, 0.0, 5.167797951734568e-06, 0.9999999999923077, 4.735961622870377e-11, -3.333333333257583, -1.999999999904934, 5.333333333423671, 1.0, 0.0, 0.0, 1 
0.1, 4.666666666666666, 0.0, 2.9663232951390034e-06, 0.9999999999972102, 9.654943511350211e-12, -3.6666666666232506, -1.9999999999480116, 5.666666666716965, 1.0, 0.0, 0.0, 1 
0.1, 5.0, 0.0, 8.117853712479375e-07, 0.9999999999987443, 4.602318526281124e-12, -3.9999999999717843, -1.9999999999672482, 6.000000000032056, 1.0, 0.0, 0.0, 1 
1.0, 0.0, 0.0, 0.6144937045233898, 0.0, 0.09513527602712407, -2.0664635958519564, 1.5125386011718511, 2.819538383452953, 1.0, 0.0, 0.0, 0 
1.0, 0.3333333333333333, 0.0, 0.6183344590238948, 0.031711758675708024, 0.09839534140225721, -2.0717168364395064, 1.4629330424893376, 2.9028073504185556, 1.0, 0.0, 0.0, 0 
1.0, 0.6666666666666666, 0.0, 0.6286627891995918, 0.06559689426817147, 0.10729303796760262, -2.087848733250914, 1.3418770423724955, 3.1172803549880697, 1.0, 0.0, 0.0, 0 
1.0, 1.0, 0.0, 0.6426917202300754, 0.10324045065410976, 0.11985385055342078, -2.1158687129763085, 1.1898142754170034, 3.4043711649403248, 1.0, 0.0, 0.0, 0 
1.0, 1.3333333333333333, 0.0, 0.6573439863161386, 0.14549946130378533, 0.13421047355494364, -2.157190513226743, 1.0257966984273514, 3.7240014505131427, 1.0, 0.0, 0.0, 0 
1.0, 1.6666666666666665, 0.0, 0.6700791301765971, 0.19271409969073885, 0.1491945748976403, -2.213419911746034, 0.8543299536951175, 4.053126805323809, 1.0, 0.0, 0.0, 0 
1.0, 2.0, 0.0, 0.6789669860909358, 0.24496251123554552, 0.16428909772623593, -2.2862261529821493, 0.6742169124531533, 4.37798076972406, 1.0, 0.0, 0.0, 0 
1.0, 2.333333333333333, 0.0, 0.6824931280303096, 0.3022401648415628, 0.1794088602996273, -2.3772869324907995, 0.4824426478946529, 4.689625902476414, 1.0, 0.0, 0.0, 0 
1.0, 2.6666666666666665, 0.0, 0.6793297155106822, 0.3645684181019637, 0.19474318625074513, -2.4882804073238316, 0.27552353855105505, 4.981689475472928, 1.0, 0.0, 0.0, 0 
1.0, 3.0, 0.0, 0.6680685353274786, 0.4320689556753929, 0.21070892041954614, -2.620906633392804, 0.04975988242171778, 5.249040341283507, 1.0, 0.0, 0.0, 0 
1.0, 3.333333333333333, 0.0, 0.6469534441607531, 0.5050410317149945, 0.22802558494015793, -2.776933237543941, -0.19879665094442037, 5.487022926559167, 1.0, 0.0, 0.0, 0 
1.0, 3.6666666666666665, 0.0, 0.6134191917222256, 0.5840860123021648, 0.24803714261520948, -2.958273362949519, -0.4747527356530041, 5.690714998604977, 1.0, 0.0, 0.0, 0 
1.0, 4.0, 0.0, 0.5630620797591884, 0.6703991267918008, 0.2738080372300373, -3.1671273707702996, -0.7844302424645104, 5.853786759512051, 1.0, 0.0, 0.0, 0 
1.0, 4.333333333333333, 0.0, 0.4866492252817816, 0.7666247037888564, 0.3163607344354941, -3.4062932285514544, -1.1386595473166627, 5.9659107248051235, 1.0, 0.0, 0.0, 0 
1.0, 4.666666666666666, 0.0, 0.35400338109060797, 0.8813062830821302, 0.35006294430588175, -3.6801558831337036, -1.5677867575009632, 5.999853513866182, 1.0, 0.0, 0.0, 0 
1.0, 5.0, 0.0, 3.2868263372394204e-06, 0.9999999999927776, 0.356081150731942, -3.9999999999982174, -1.9999999999721358, 6.000000000023844, 1.0, 0.0, 0.0, 0 
